3,3,10,36,3860,15
4,9,8,44,4920,5
4,8,43,27,7560,2
1,5,25,43,4833,12
1,8,50,52,9551,12
2,1,15,91,2715,5
8,3,39,72,3156,12
6,6,23,95,5746,3
3,8,47,74,5369,5
7,11,38,48,3989,11
8,12,40,44,3641,6
1,7,23,54,3473,9
3,5,7,81,8090,16
3,1,6,84,3248,5
7,5,30,3,2117,6
5,7,42,10,8118,5
8,3,9,11,9473,16
6,9,20,37,4438,3
2,12,3,80,2862,5
5,2,35,50,6795,15
7,12,22,11,9761,13
6,4,28,82,9114,10
7,3,7,15,2365,9
8,6,2,45,8949,3
3,10,16,59,5879,12
6,5,28,29,4089,16
5,7,38,64,6733,2
5,4,4,47,1205,1
1,5,47,17,6415,4
7,4,5,29,8242,4
4,2,37,84,2690,8
1,6,42,18,6349,10
7,4,40,91,8560,9
1,11,37,28,5212,3
7,6,41,35,4772,1
7,4,39,55,2701,8
4,10,7,58,4899,9
2,12,41,37,4593,6
4,12,24,55,2899,16
4,3,34,59,1561,12
6,9,4,80,3834,6
7,3,4,30,5520,2
4,6,21,21,1521,9
3,5,4,47,9226,8
5,4,3,82,1643,1
7,10,36,42,8931,12
4,6,32,49,6125,3
3,2,24,40,2138,12
5,4,6,15,3448,11
6,3,39,62,3076,16
3,12,8,6,5237,12
3,12,31,67,7584,11
8,10,43,89,2848,13
8,2,10,34,3235,13
8,9,27,6,7815,11
8,11,10,63,2966,10
1,3,34,78,1320,3
1,11,28,48,3119,8
7,10,2,100,6670,2
7,12,37,35,2380,13
2,4,13,97,7254,15
4,4,31,26,8640,1
1,3,7,7,3060,6
3,6,23,10,3252,16
5,12,12,13,8449,5
7,9,3,88,6596,12
8,2,11,67,1312,16
7,7,47,3,8864,7
8,9,36,39,1784,12
3,1,3,27,4045,12
6,4,23,33,4626,3
8,3,30,40,2640,2
2,8,20,49,3327,12
1,8,5,81,2615,2
5,6,31,33,5736,10
6,8,41,49,1098,12
5,7,8,77,1597,10
7,7,28,63,3190,8
3,11,40,36,2850,12
5,11,8,36,7685,15
5,8,37,3,7541,9
3,8,30,68,9847,12
5,4,27,48,9791,11
5,12,12,11,9893,11
7,4,21,8,8736,3
5,2,39,22,2849,7
8,10,41,100,4141,10
8,8,44,6,8247,15
2,2,44,51,8342,13
6,6,33,6,3361,7
2,3,40,43,1934,14
8,5,5,11,6158,3
7,7,31,64,2838,6
7,9,26,51,8809,12
3,1,17,99,5499,13
7,11,28,41,8676,3
7,6,28,4,1682,8
7,2,29,70,7230,5
2,1,13,32,3316,9
8,8,17,9,2131,1
5,12,43,33,3846,12
6,5,35,47,8705,12
7,10,32,5,7027,13
2,8,19,7,8291,7
5,6,30,99,5509,4
7,9,18,52,5822,2
5,7,40,86,1568,5
5,9,11,53,5809,8
8,11,49,57,9602,9
6,6,10,42,8382,14
2,8,46,49,6857,3
3,4,12,56,4774,3
8,4,27,10,5447,2
2,12,47,10,1642,11
2,3,37,84,8683,2
8,3,35,95,7443,7
4,2,4,6,2499,5
3,5,23,81,6279,11
8,7,48,9,2804,14
8,1,29,27,3124,7
4,7,21,13,6851,4
4,1,29,12,7443,7
1,2,41,67,8314,12
2,6,33,7,8570,5
2,10,1,85,1303,11
7,2,43,66,6673,11
7,2,36,24,3875,9
1,11,43,54,1425,1
1,3,12,87,1634,13
6,5,35,13,9720,14
2,8,1,90,3430,10
5,5,27,18,8276,11
8,12,7,12,9648,16
4,8,39,97,8399,13
4,12,2,7,9141,5
8,9,10,89,1340,11
5,3,31,25,9888,11
5,11,22,58,8904,2
6,8,20,73,7289,6
1,3,41,22,5102,5
5,6,24,26,3027,2
4,2,47,45,6162,13
3,3,32,11,5088,16
3,11,6,93,4516,5
8,3,2,84,8372,13
7,4,38,32,7072,8
2,4,32,36,1910,13
2,3,4,65,4229,9
6,12,39,84,8645,10
2,8,6,22,4414,16
1,8,15,12,6191,4
8,1,26,14,9268,4
3,1,39,33,7730,3
2,3,44,52,1977,14
1,1,24,17,2115,1
4,12,45,63,3796,8
4,1,33,82,6823,5
1,8,3,58,5362,14
7,11,45,94,1084,3
1,7,27,43,1708,9
7,11,47,48,7619,16
3,9,35,31,8605,11
5,5,30,57,5578,9
7,6,28,64,4059,5
2,6,49,74,5541,13
8,1,50,10,1393,14
4,7,43,10,3375,13
2,7,1,22,4821,10
5,7,1,2,6457,10
1,2,25,67,4026,5
8,8,12,92,4354,13
6,5,18,78,2568,16
6,9,10,79,5444,14
2,12,2,35,2496,16
7,11,23,37,1801,15
3,9,10,59,2065,11
5,3,8,23,5677,1
3,10,20,5,4202,15
4,3,33,68,4714,7
2,8,21,29,2337,8
3,4,17,44,5068,8
7,1,31,52,3272,5
6,1,21,3,1551,6
5,9,29,57,9464,14
3,8,16,79,4059,8
3,4,4,70,9030,4
6,11,18,94,3377,5
3,11,49,38,1030,7
1,3,29,5,7505,7
8,10,20,47,2546,13
2,12,37,13,3253,1
2,12,7,22,4016,4
1,8,23,29,3629,1
8,11,33,93,8046,2
8,3,27,66,8157,2
7,3,34,54,8242,5
5,2,34,98,2698,1
3,10,45,36,1139,2
8,8,24,36,6135,5
2,3,11,62,2933,1
4,7,10,1,4645,2
5,6,41,19,7683,3
3,12,35,62,6894,16
2,7,11,43,7182,3
6,6,33,39,4300,10
1,12,47,64,5516,11
7,4,20,78,8348,9
3,10,44,34,9951,11
5,7,28,22,4397,11
7,1,43,1,4175,16
4,2,7,23,2109,14
2,9,21,5,8012,7
5,6,37,69,2216,15
3,4,23,1,8224,14
1,11,28,28,8207,8
7,11,46,44,3921,11
4,1,33,6,2233,5
2,7,39,17,6503,15
8,2,46,95,7240,1
5,6,18,32,2712,5
3,12,47,96,3144,16
4,3,7,8,3623,2
3,4,9,20,7886,5
1,11,12,64,4072,11
5,11,8,88,9364,15
3,1,44,38,8019,4
3,4,16,83,7169,7
7,11,43,85,7209,7
7,4,35,9,3399,6
1,8,30,28,4730,6
7,8,13,27,7819,4
2,11,24,97,8788,8
8,3,10,80,8713,8
7,9,9,71,1063,10
2,3,41,56,4033,3
6,1,44,94,1212,2
2,7,6,65,6864,14
8,11,23,20,2192,1
2,3,40,11,5335,12
2,2,31,63,1602,9
4,8,27,34,4046,14
5,1,10,11,6479,6
3,2,3,36,7737,2
2,12,5,77,4675,2
3,7,29,16,7605,15
4,7,23,57,3188,1
3,8,29,63,6168,2
7,1,32,44,7577,6
6,11,18,50,5000,2
4,8,12,45,9842,14
2,6,15,27,6715,1
8,10,46,4,1658,3
5,7,22,99,9213,6
4,11,40,25,5413,15
5,12,7,38,2119,10
7,11,32,75,4397,2
7,8,21,60,5888,15
4,8,39,22,9527,15
6,6,37,87,9841,2
1,1,49,40,7218,11
8,7,35,31,3303,4
4,10,9,33,2536,6
8,11,19,87,8413,14
2,5,2,24,7611,11
8,12,44,58,7444,6
1,5,45,75,7028,1
2,2,19,54,7532,3
6,4,15,40,9038,2
6,2,10,12,3440,6
6,9,40,2,4771,6
3,12,5,81,2759,13
4,3,10,35,6584,12
4,8,32,89,5645,7
3,6,2,75,8898,9
2,1,8,57,2009,16
2,3,35,4,2508,13
1,11,7,54,9616,11
8,5,28,48,6526,11
6,9,9,38,6797,15
3,8,3,54,6612,3
5,11,6,22,1969,7
1,6,22,84,8498,10
3,11,27,36,8449,9
1,9,20,47,8760,6
7,11,30,77,7556,9
7,7,15,95,9300,2
5,9,12,15,5113,3
3,11,46,57,1815,13
4,12,40,52,5706,15
7,2,1,75,4744,4
7,4,37,88,1656,6
3,5,46,46,8208,3
3,11,13,25,2854,16
4,3,39,78,4332,13
6,3,50,37,2430,13
1,10,15,100,4041,4
4,5,40,60,3162,13
8,12,8,67,2941,11
6,7,48,2,3613,3
4,1,45,96,2178,14
3,12,9,15,4461,16
7,4,27,5,8537,14
2,11,50,3,9010,7
6,1,2,34,7382,10
7,1,27,11,5804,5
3,6,13,97,3485,5
5,9,28,16,8395,15
2,8,35,12,8384,7
2,6,8,46,3861,1
7,12,13,56,3815,6
4,9,39,23,7517,7
5,3,30,72,5057,3
7,6,13,12,2835,2
8,9,12,10,9295,2
2,11,7,20,2525,5
1,1,22,23,7250,2
2,11,45,32,5811,10
7,6,50,100,6269,14
7,9,40,16,6700,10
1,5,42,68,1511,14
2,5,4,29,7079,7
6,8,40,18,9677,5
2,8,10,64,3146,8
1,3,15,30,4656,8
5,11,20,84,2018,6
3,6,43,4,1698,3
5,7,40,56,3551,16
1,8,37,49,9491,1
4,6,7,37,6065,15
5,12,49,58,8007,13
